user_id,images_generated_monthly,api_calls_monthly,login_frequency_weekly,templates_used_monthly,custom_generation_minutes_monthly,feature_x_used
1,150,5,4,20,60,1
2,20,500,1,2,10,0
3,80,10,3,15,45,1
4,200,8,5,25,75,1
5,30,400,2,3,15,0
6,100,12,4,18,50,1
7,250,10,5,30,90,1
8,15,600,1,1,8,0
9,70,8,3,12,40,1
10,180,6,4,22,65,1
11,25,450,2,4,12,0
12,120,15,4,19,55,1
13,10,700,1,0,5,0
14,90,9,3,16,48,1
15,160,7,4,21,70,1
16,35,350,2,5,18,0
17,130,11,4,23,62,1
18,5,800,1,0,3,0
19,60,6,3,10,35,1
20,220,13,5,28,85,1
21,40,300,2,6,20,0
22,110,14,4,17,52,1
23,190,10,5,24,78,1
24,20,550,1,2,10,0
25,75,7,3,13,42,1
26,240,11,5,29,88,1
27,18,650,1,1,9,0
28,140,16,4,20,68,1
29,65,9,3,11,38,1
30,210,14,5,26,82,1
31,28,480,2,4,14,0
32,95,12,3,16,47,1
33,170,8,4,22,72,1
34,12,720,1,0,6,0
35,55,7,3,9,32,1
36,230,15,5,27,86,1
37,32,380,2,5,16,0
38,155,10,4,21,63,1
39,8,750,1,0,4,0
40,105,13,4,18,58,1
41,45,280,2,7,22,0
42,165,9,4,23,74,1
43,26,520,1,3,13,0
44,70,8,3,12,40,1
45,205,12,5,25,80,1
46,38,320,2,6,19,0
47,115,14,4,19,54,1
48,10,680,1,1,7,0
49,60,7,3,10,35,1
50,195,11,5,24,76,1
51,20,490,2,3,11,0
52,85,10,3,15,45,1
53,175,7,4,20,70,1
54,30,420,2,4,15,0
55,135,13,4,19,60,1
56,5,780,1,0,2,0
57,75,9,3,13,42,1
58,225,14,5,27,84,1
59,42,350,2,6,21,0
60,160,11,4,22,66,1
61,25,560,1,3,12,0
62,90,8,3,15,48,1
63,215,13,5,26,83,1
64,35,400,2,5,17,0
65,125,15,4,20,58,1
66,15,620,1,2,9,0
67,80,10,3,14,44,1
68,185,12,4,23,75,1
69,28,500,2,4,14,0
70,145,16,4,21,65,1
71,10,700,1,0,5,0
72,60,8,3,11,37,1
73,235,15,5,28,87,1
74,30,450,2,5,16,0
75,170,9,4,24,70,1
76,22,580,1,2,11,0
77,95,11,3,16,49,1
78,200,13,5,25,79,1
79,48,320,2,7,23,0
80,130,14,4,19,61,1
81,18,650,1,1,8,0
82,70,9,3,12,40,1
83,245,16,5,29,89,1
84,32,370,2,6,18,0
85,150,12,4,21,64,1
86,8,720,1,0,4,0
87,85,10,3,14,46,1
88,190,13,5,24,77,1
89,40,430,2,6,20,0
90,100,15,4,17,50,1
91,25,600,1,2,12,0
92,65,7,3,11,36,1
93,210,14,5,26,81,1
94,36,390,2,5,19,0
95,160,11,4,22,69,1
96,12,750,1,0,6,0
97,75,10,3,13,41,1
98,220,15,5,27,85,1
99,29,460,2,4,15,0
100,140,12,4,20,62,1
